Symbol,Date,Open,High,Low,Close,Volume
THYROCARE,2016-05-09 09:44:00+05:30,221.6,221.6,202.0,206.2,38557864
THYROCARE,2016-05-10 09:15:00+05:30,204.6,205.8,198.2,200.8,8683942
THYROCARE,2016-05-11 09:15:00+05:30,196.9,209.9,195.1,209.1,8196364
THYROCARE,2016-05-12 09:15:00+05:30,209.7,211.4,207.3,210.0,2546919
THYROCARE,2016-05-13 09:15:00+05:30,208.8,211.1,206.0,208.1,1844689
THYROCARE,2016-05-16 09:15:00+05:30,208.0,214.1,205.0,208.8,1846775
THYROCARE,2016-05-17 09:15:00+05:30,209.6,211.6,208.0,208.4,1019565
THYROCARE,2016-05-18 09:15:00+05:30,208.3,210.0,207.7,208.3,500561
THYROCARE,2016-05-19 09:15:00+05:30,208.5,209.5,200.3,201.6,501752
THYROCARE,2016-05-20 09:15:00+05:30,203.0,205.1,200.5,200.8,470129
THYROCARE,2016-05-23 09:15:00+05:30,202.3,206.3,200.0,203.6,558932
THYROCARE,2016-05-24 09:15:00+05:30,202.8,205.0,201.0,202.1,391359
THYROCARE,2016-05-25 09:15:00+05:30,204.0,207.3,203.3,207.3,496601
THYROCARE,2016-05-26 09:15:00+05:30,207.7,213.6,206.7,211.6,1427555
THYROCARE,2016-05-27 09:15:00+05:30,212.8,214.0,210.3,212.0,625674
THYROCARE,2016-05-30 09:15:00+05:30,212.4,215.2,211.6,212.3,463627
THYROCARE,2016-05-31 09:15:00+05:30,213.5,214.7,208.1,213.4,673837
THYROCARE,2016-06-01 09:15:00+05:30,213.4,215.5,208.5,209.4,478023
THYROCARE,2016-06-02 09:15:00+05:30,210.4,211.1,207.9,209.6,252652
THYROCARE,2016-06-03 09:15:00+05:30,210.0,223.3,208.2,209.7,3865275
THYROCARE,2016-06-06 09:15:00+05:30,208.3,211.4,196.6,198.5,3705584
THYROCARE,2016-06-07 09:15:00+05:30,199.3,206.4,198.9,203.4,1230045
THYROCARE,2016-06-08 09:15:00+05:30,204.8,205.8,201.6,202.4,432637
THYROCARE,2016-06-09 09:15:00+05:30,203.2,203.2,199.3,200.1,350258
THYROCARE,2016-06-10 09:15:00+05:30,201.6,203.2,196.9,198.8,593552
THYROCARE,2016-06-13 09:15:00+05:30,200.5,205.0,200.0,200.6,1237795
THYROCARE,2016-06-14 09:15:00+05:30,201.2,204.2,200.8,201.3,480201
THYROCARE,2016-06-15 09:15:00+05:30,202.1,203.4,199.0,199.9,349370
THYROCARE,2016-06-16 09:15:00+05:30,201.3,202.9,195.3,196.3,737426
THYROCARE,2016-06-17 09:15:00+05:30,197.1,200.0,194.6,195.5,413639
THYROCARE,2016-06-20 09:15:00+05:30,194.9,194.9,189.0,190.1,556859
THYROCARE,2016-06-21 09:15:00+05:30,190.3,194.2,189.4,193.3,670687
