Symbol,Date,Open,High,Low,Close,Volume
TIMETECHNO,2007-06-13 00:00:00+05:30,24.5,24.95,21.0,24.05,368082898
TIMETECHNO,2007-06-14 00:00:00+05:30,24.7,25.85,23.5,24.3,134942378
TIMETECHNO,2007-06-15 00:00:00+05:30,24.7,24.7,23.25,23.65,43435998
TIMETECHNO,2007-06-18 00:00:00+05:30,23.8,28.1,22.4,26.25,105336278
TIMETECHNO,2007-06-19 00:00:00+05:30,27.5,28.0,26.3,27.1,87800018
TIMETECHNO,2007-06-20 00:00:00+05:30,27.0,27.15,25.9,26.45,28671478
TIMETECHNO,2007-06-21 00:00:00+05:30,26.25,31.4,26.0,30.65,140508838
TIMETECHNO,2007-06-22 00:00:00+05:30,30.6,30.85,29.15,29.7,75447158
TIMETECHNO,2007-06-25 00:00:00+05:30,30.0,30.0,28.6,28.8,20067018
TIMETECHNO,2007-06-26 00:00:00+05:30,28.55,31.85,28.55,30.95,83813558
TIMETECHNO,2007-06-27 00:00:00+05:30,30.5,31.2,29.5,29.65,33562858
TIMETECHNO,2007-06-28 00:00:00+05:30,29.9,30.5,29.25,29.45,16956898
TIMETECHNO,2007-06-29 00:00:00+05:30,29.5,30.15,28.55,28.7,10804758
TIMETECHNO,2007-07-02 00:00:00+05:30,29.0,30.7,28.25,29.7,31999478
TIMETECHNO,2007-07-03 00:00:00+05:30,30.0,30.6,29.65,29.8,16914838
TIMETECHNO,2007-07-04 00:00:00+05:30,29.95,29.95,28.85,29.0,5409798
TIMETECHNO,2007-07-05 00:00:00+05:30,29.2,29.2,27.6,28.3,5164858
TIMETECHNO,2007-07-06 00:00:00+05:30,28.4,29.4,27.95,28.2,6332538
TIMETECHNO,2007-07-09 00:00:00+05:30,28.5,29.05,28.1,28.25,3622798
TIMETECHNO,2007-07-10 00:00:00+05:30,28.45,30.85,28.3,29.75,28028318
TIMETECHNO,2007-07-11 00:00:00+05:30,29.8,29.9,28.9,29.1,4174218
TIMETECHNO,2007-07-12 00:00:00+05:30,29.3,33.9,29.3,32.55,47098378
TIMETECHNO,2007-07-13 00:00:00+05:30,32.2,33.6,31.65,31.85,17505938
TIMETECHNO,2007-07-16 00:00:00+05:30,32.0,32.75,31.6,31.85,9084478
TIMETECHNO,2007-07-17 00:00:00+05:30,32.15,33.4,31.85,32.0,8222898
TIMETECHNO,2007-07-18 00:00:00+05:30,32.1,32.5,30.65,31.15,5731238
TIMETECHNO,2007-07-19 00:00:00+05:30,31.25,31.9,30.75,31.25,3573058
TIMETECHNO,2007-07-20 00:00:00+05:30,31.75,31.75,30.3,30.55,2412198
TIMETECHNO,2007-07-23 00:00:00+05:30,30.05,30.65,29.3,29.7,2107298
TIMETECHNO,2007-07-24 00:00:00+05:30,29.95,30.95,29.8,30.05,3559578
TIMETECHNO,2007-07-25 00:00:00+05:30,30.05,30.25,28.85,29.1,1418798
TIMETECHNO,2007-07-26 00:00:00+05:30,29.6,29.6,28.75,29.05,1183978
TIMETECHNO,2007-07-27 00:00:00+05:30,29.05,29.05,27.0,27.3,1402918
TIMETECHNO,2007-07-30 00:00:00+05:30,27.5,28.55,26.5,26.85,1266478
TIMETECHNO,2007-07-31 00:00:00+05:30,27.2,31.3,27.1,30.25,14792898
TIMETECHNO,2007-08-01 00:00:00+05:30,30.15,30.15,24.8,25.8,9281458
TIMETECHNO,2007-08-02 00:00:00+05:30,26.25,28.9,26.15,27.7,15716718
TIMETECHNO,2007-08-03 00:00:00+05:30,28.0,29.1,27.9,28.15,6990118
TIMETECHNO,2007-08-06 00:00:00+05:30,26.6,28.95,26.0,28.1,8343318
TIMETECHNO,2007-08-07 00:00:00+05:30,28.7,29.95,28.25,28.65,8442118
TIMETECHNO,2007-08-08 00:00:00+05:30,29.15,29.75,28.75,28.85,2260758
TIMETECHNO,2007-08-09 00:00:00+05:30,29.5,30.55,28.35,28.6,8135878
TIMETECHNO,2007-08-10 00:00:00+05:30,27.5,28.1,26.65,27.8,2061278
TIMETECHNO,2007-08-13 00:00:00+05:30,28.15,29.4,28.1,28.65,1993538
TIMETECHNO,2007-08-14 00:00:00+05:30,26.75,29.4,26.75,28.25,1925198
TIMETECHNO,2007-08-16 00:00:00+05:30,27.1,27.95,26.3,26.8,1184858
TIMETECHNO,2007-08-17 00:00:00+05:30,26.75,27.65,25.05,26.25,2835898
TIMETECHNO,2007-08-20 00:00:00+05:30,30.0,30.0,26.05,26.4,1639698
