Symbol,Date,Open,High,Low,Close,Volume
TNTELE,2007-01-02 00:00:00+05:30,13.45,13.45,12.3,13.0,17927
TNTELE,2007-01-03 00:00:00+05:30,13.35,13.45,13.1,13.45,3525
TNTELE,2007-01-04 00:00:00+05:30,13.45,13.7,13.2,13.3,8445
TNTELE,2007-01-05 00:00:00+05:30,13.7,13.9,13.5,13.9,10305
TNTELE,2007-01-08 00:00:00+05:30,14.5,14.6,14.35,14.6,9501
TNTELE,2007-01-09 00:00:00+05:30,15.35,15.35,15.35,15.35,10011
TNTELE,2007-01-10 00:00:00+05:30,16.1,16.15,15.0,15.2,22530
TNTELE,2007-01-11 00:00:00+05:30,15.7,15.7,14.6,15.05,12843
TNTELE,2007-01-12 00:00:00+05:30,15.45,15.5,14.65,14.85,5877
TNTELE,2007-01-15 00:00:00+05:30,15.55,15.6,14.6,14.65,3564
TNTELE,2007-01-16 00:00:00+05:30,14.25,15.3,14.2,14.45,8350
TNTELE,2007-01-17 00:00:00+05:30,14.5,15.2,14.4,14.75,9315
TNTELE,2007-01-18 00:00:00+05:30,15.3,15.45,14.7,15.3,7409
TNTELE,2007-01-19 00:00:00+05:30,14.55,15.1,14.55,14.9,4290
TNTELE,2007-01-22 00:00:00+05:30,14.5,14.75,14.25,14.35,5380
TNTELE,2007-01-23 00:00:00+05:30,14.5,14.85,14.05,14.25,2910
TNTELE,2007-01-24 00:00:00+05:30,14.15,14.5,14.0,14.5,1600
TNTELE,2007-01-25 00:00:00+05:30,14.05,14.5,14.0,14.25,2200
TNTELE,2007-01-29 00:00:00+05:30,14.0,14.0,13.55,13.8,4500
TNTELE,2007-01-31 00:00:00+05:30,13.75,14.5,13.65,13.8,3600
TNTELE,2007-02-01 00:00:00+05:30,13.85,14.45,13.25,14.1,2496
TNTELE,2007-02-02 00:00:00+05:30,14.8,14.85,14.5,14.65,17355
TNTELE,2007-02-05 00:00:00+05:30,14.85,15.4,14.85,15.4,19719
TNTELE,2007-02-06 00:00:00+05:30,16.2,16.2,14.7,16.15,13092
TNTELE,2007-02-07 00:00:00+05:30,16.25,16.75,15.35,15.35,22515
TNTELE,2007-02-08 00:00:00+05:30,16.0,16.0,14.7,14.95,8642
TNTELE,2007-02-09 00:00:00+05:30,15.4,15.4,14.5,14.7,2100
TNTELE,2007-02-12 00:00:00+05:30,14.1,14.1,14.0,14.0,2350
TNTELE,2007-02-13 00:00:00+05:30,14.0,14.0,13.3,13.75,5200
TNTELE,2007-02-14 00:00:00+05:30,13.1,13.9,13.1,13.85,4800
TNTELE,2007-02-15 00:00:00+05:30,14.0,14.45,13.8,14.3,5798
TNTELE,2007-02-19 00:00:00+05:30,14.95,14.95,13.6,13.9,1654
TNTELE,2007-02-20 00:00:00+05:30,13.6,13.9,13.2,13.55,6000
TNTELE,2007-02-21 00:00:00+05:30,13.9,13.95,13.8,13.9,3450
TNTELE,2007-02-22 00:00:00+05:30,13.3,13.85,13.2,13.75,6300
TNTELE,2007-02-23 00:00:00+05:30,13.5,13.5,13.1,13.1,4866
TNTELE,2007-02-26 00:00:00+05:30,13.0,13.0,12.45,12.8,2300
TNTELE,2007-02-27 00:00:00+05:30,13.0,13.0,12.25,12.8,4200
TNTELE,2007-02-28 00:00:00+05:30,12.2,13.25,12.2,12.45,3841
TNTELE,2007-03-01 00:00:00+05:30,12.75,12.75,11.85,12.0,4933
TNTELE,2007-03-02 00:00:00+05:30,12.0,12.6,11.5,11.5,1250
TNTELE,2007-03-05 00:00:00+05:30,11.7,11.75,11.0,11.3,2974
TNTELE,2007-03-06 00:00:00+05:30,11.3,11.85,10.75,11.35,7776
TNTELE,2007-03-07 00:00:00+05:30,11.5,11.5,10.8,11.0,3550
TNTELE,2007-03-08 00:00:00+05:30,10.6,10.9,10.45,10.7,5450
TNTELE,2007-03-09 00:00:00+05:30,10.7,11.25,10.5,10.7,3345
TNTELE,2007-03-12 00:00:00+05:30,11.0,11.2,10.85,10.95,1118
TNTELE,2007-03-13 00:00:00+05:30,10.75,11.0,10.75,11.0,1050
TNTELE,2007-03-14 00:00:00+05:30,11.4,11.4,10.55,11.1,3565
TNTELE,2007-03-15 00:00:00+05:30,11.3,11.45,11.0,11.45,1550
TNTELE,2007-03-16 00:00:00+05:30,10.9,11.45,10.9,10.95,4450
TNTELE,2007-03-19 00:00:00+05:30,10.8,11.35,10.5,11.25,5032
TNTELE,2007-03-20 00:00:00+05:30,10.9,11.4,10.85,11.4,1180
TNTELE,2007-03-21 00:00:00+05:30,11.0,11.35,11.0,11.2,2265
TNTELE,2007-03-22 00:00:00+05:30,11.45,11.45,10.8,10.9,13600
TNTELE,2007-03-23 00:00:00+05:30,11.1,11.15,10.9,10.9,4795
TNTELE,2007-03-26 00:00:00+05:30,11.25,11.45,10.85,10.85,7810
TNTELE,2007-03-28 00:00:00+05:30,10.8,11.2,10.35,10.45,10948
TNTELE,2007-03-29 00:00:00+05:30,10.45,10.95,10.45,10.45,700
TNTELE,2007-03-30 00:00:00+05:30,10.7,10.7,10.4,10.4,2339
TNTELE,2007-04-02 00:00:00+05:30,10.05,10.95,10.05,10.3,3811
TNTELE,2007-04-03 00:00:00+05:30,10.05,10.75,10.05,10.75,2657
TNTELE,2007-04-04 00:00:00+05:30,10.8,11.0,10.45,10.45,1582
TNTELE,2007-04-05 00:00:00+05:30,10.75,10.75,10.2,10.5,783
TNTELE,2007-04-09 00:00:00+05:30,10.9,10.9,10.5,10.55,2100
TNTELE,2007-04-10 00:00:00+05:30,10.4,11.1,10.4,10.9,7200
TNTELE,2007-04-11 00:00:00+05:30,10.75,11.35,10.75,11.2,14418
TNTELE,2007-04-12 00:00:00+05:30,10.4,11.15,10.4,11.0,1251
TNTELE,2007-04-13 00:00:00+05:30,10.75,11.55,10.75,11.0,2782
TNTELE,2007-04-16 00:00:00+05:30,10.9,11.45,10.85,11.4,5120
TNTELE,2007-04-17 00:00:00+05:30,11.45,11.75,11.0,11.25,5865
TNTELE,2007-04-18 00:00:00+05:30,11.7,11.9,11.15,11.7,2520
TNTELE,2007-04-19 00:00:00+05:30,10.9,11.65,10.9,11.4,4133
TNTELE,2007-04-20 00:00:00+05:30,11.7,12.55,11.5,12.3,29737
TNTELE,2007-04-23 00:00:00+05:30,12.85,13.45,12.2,12.95,11676
TNTELE,2007-04-24 00:00:00+05:30,11.8,12.9,11.8,12.55,5127
TNTELE,2007-04-25 00:00:00+05:30,13.05,13.1,12.2,12.95,11353
TNTELE,2007-04-26 00:00:00+05:30,13.5,13.5,12.8,12.8,10133
TNTELE,2007-04-27 00:00:00+05:30,12.25,13.0,12.0,12.45,7613
TNTELE,2007-04-30 00:00:00+05:30,12.15,12.75,11.8,11.85,6362
TNTELE,2007-05-03 00:00:00+05:30,12.3,12.3,11.9,12.15,6000
TNTELE,2007-05-04 00:00:00+05:30,12.3,12.3,11.6,12.0,6751
TNTELE,2007-05-07 00:00:00+05:30,11.6,12.3,11.6,12.1,5300
TNTELE,2007-05-08 00:00:00+05:30,12.0,12.35,11.75,11.8,6053
TNTELE,2007-05-09 00:00:00+05:30,11.1,12.05,11.0,11.85,3860
TNTELE,2007-05-10 00:00:00+05:30,11.5,12.5,11.5,11.6,8107
TNTELE,2007-05-11 00:00:00+05:30,10.55,11.9,10.55,11.5,5698
TNTELE,2007-05-14 00:00:00+05:30,11.5,12.25,11.1,11.6,9256
TNTELE,2007-05-15 00:00:00+05:30,11.7,11.9,11.65,11.65,2438
TNTELE,2007-05-16 00:00:00+05:30,11.5,12.0,11.5,11.95,4189
TNTELE,2007-05-17 00:00:00+05:30,12.2,12.65,11.95,12.1,6020
TNTELE,2007-05-18 00:00:00+05:30,12.0,12.6,11.55,11.95,4800
TNTELE,2007-05-21 00:00:00+05:30,11.55,12.0,11.5,11.85,2268
TNTELE,2007-05-22 00:00:00+05:30,11.55,12.0,11.5,11.75,4300
TNTELE,2007-05-23 00:00:00+05:30,12.15,12.4,11.8,11.8,3245
TNTELE,2007-05-24 00:00:00+05:30,11.55,11.65,11.35,11.65,5205
TNTELE,2007-05-25 00:00:00+05:30,11.5,12.0,11.15,11.8,3262
TNTELE,2007-05-28 00:00:00+05:30,11.6,12.25,11.4,11.7,8501
TNTELE,2007-05-29 00:00:00+05:30,11.0,12.3,11.0,11.75,6444
