Symbol,Date,Open,High,Low,Close,Volume
TREL,2023-08-10 00:00:00+05:30,38.0,39.0,36.15,36.15,2438071
TREL,2023-08-11 00:00:00+05:30,34.35,34.35,34.35,34.35,422933
TREL,2023-08-14 00:00:00+05:30,32.65,32.65,32.65,32.65,155723
TREL,2023-08-16 00:00:00+05:30,31.05,31.05,31.05,31.05,22953
TREL,2023-08-17 00:00:00+05:30,29.5,29.5,29.5,29.5,62087
TREL,2023-08-18 00:00:00+05:30,28.05,30.95,28.05,30.3,3799553
TREL,2023-08-21 00:00:00+05:30,29.6,30.7,28.8,28.8,1983746
TREL,2023-08-22 00:00:00+05:30,27.4,30.2,27.4,29.85,2324277
TREL,2023-08-23 00:00:00+05:30,30.0,30.9,29.5,30.65,1265846
TREL,2023-08-24 00:00:00+05:30,32.0,32.15,30.9,31.65,1042540
TREL,2023-08-25 00:00:00+05:30,32.8,37.5,32.8,35.7,3557704
TREL,2023-08-28 00:00:00+05:30,36.05,39.9,36.05,38.0,3060543
TREL,2023-08-29 00:00:00+05:30,38.6,39.7,37.15,38.95,1536432
TREL,2023-08-30 00:00:00+05:30,38.5,38.5,36.15,36.8,1081682
TREL,2023-08-31 00:00:00+05:30,36.8,37.35,33.1,34.65,890273
TREL,2023-09-01 00:00:00+05:30,34.75,35.55,33.1,33.5,749114
TREL,2023-09-04 00:00:00+05:30,33.55,36.4,33.55,34.9,699217
TREL,2023-09-05 00:00:00+05:30,35.0,35.45,32.85,33.35,690016
TREL,2023-09-06 00:00:00+05:30,33.1,39.3,33.1,38.0,3463967
TREL,2023-09-07 00:00:00+05:30,38.25,41.95,37.2,39.85,3898242
TREL,2023-09-08 00:00:00+05:30,40.3,46.0,40.3,44.55,9368888
TREL,2023-09-11 00:00:00+05:30,45.5,48.65,43.6,44.45,8809571
TREL,2023-09-12 00:00:00+05:30,44.9,45.2,40.0,41.15,2724710
TREL,2023-09-13 00:00:00+05:30,41.15,44.0,39.45,43.45,1763355
TREL,2023-09-14 00:00:00+05:30,43.75,45.05,41.85,42.3,1347576
TREL,2023-09-15 00:00:00+05:30,42.3,43.35,41.6,42.2,941091
TREL,2023-09-18 00:00:00+05:30,42.1,42.95,40.7,41.5,883068
TREL,2023-09-20 00:00:00+05:30,41.35,44.1,40.5,41.65,1661801
TREL,2023-09-21 00:00:00+05:30,42.5,43.75,42.05,42.4,1050140
TREL,2023-09-22 00:00:00+05:30,42.9,43.1,41.75,42.15,362470
TREL,2023-09-25 00:00:00+05:30,42.55,44.45,42.15,42.85,753226
