Symbol,Date,Open,High,Low,Close,Volume
TSFINV,2018-03-27 09:44:00+05:30,305.7,305.7,290.45,290.45,953
TSFINV,2018-03-28 09:15:00+05:30,275.95,275.95,275.95,275.95,1134
TSFINV,2018-04-02 09:15:00+05:30,262.2,262.2,262.2,262.2,1307
TSFINV,2018-04-03 09:15:00+05:30,249.1,249.1,249.1,249.1,3124
TSFINV,2018-04-04 09:15:00+05:30,236.65,236.65,236.65,236.65,1044
TSFINV,2018-04-05 09:20:00+05:30,224.8,224.8,224.8,224.8,1203
TSFINV,2018-04-06 09:15:00+05:30,213.6,213.6,213.6,213.6,2933
TSFINV,2018-04-09 09:15:00+05:30,202.95,202.95,202.95,202.95,3855
TSFINV,2018-04-10 09:15:00+05:30,192.8,192.8,192.8,192.8,1318
TSFINV,2018-04-11 09:15:00+05:30,183.25,183.25,183.25,183.25,3710
TSFINV,2018-04-12 09:16:00+05:30,174.05,174.05,174.05,174.05,2804
TSFINV,2018-04-13 09:15:00+05:30,165.4,165.4,165.4,165.4,3393
TSFINV,2018-04-16 09:15:00+05:30,157.15,157.15,157.15,157.15,2335
TSFINV,2018-04-17 09:15:00+05:30,151.1,151.1,149.3,149.3,6692
TSFINV,2018-04-18 09:15:00+05:30,141.85,141.85,141.85,141.85,5439
TSFINV,2018-04-19 09:16:00+05:30,134.8,141.3,134.8,134.8,4946553
TSFINV,2018-04-20 09:15:00+05:30,128.1,137.6,128.1,133.9,1965557
TSFINV,2018-04-23 09:15:00+05:30,132.0,133.3,128.2,130.5,604937
TSFINV,2018-04-24 09:15:00+05:30,132.3,132.3,129.4,129.8,388987
TSFINV,2018-04-25 09:15:00+05:30,130.6,130.65,126.85,127.7,259346
TSFINV,2018-04-26 09:15:00+05:30,129.7,129.7,126.7,128.4,340738
TSFINV,2018-04-27 09:16:00+05:30,129.05,129.75,122.75,124.85,150148
TSFINV,2018-04-30 09:15:00+05:30,124.5,131.05,124.45,131.05,324387
TSFINV,2018-05-02 09:15:00+05:30,137.6,137.6,133.8,137.45,666352
TSFINV,2018-05-03 09:15:00+05:30,142.2,142.2,133.6,134.65,175675
TSFINV,2018-05-04 09:15:00+05:30,137.5,137.5,131.1,135.7,119125
TSFINV,2018-05-07 09:15:00+05:30,136.65,140.4,132.45,133.0,93997
TSFINV,2018-05-08 09:15:00+05:30,133.3,134.2,131.55,132.9,100373
TSFINV,2018-05-09 09:17:00+05:30,135.45,138.2,132.9,136.75,137860
TSFINV,2018-05-10 09:15:00+05:30,137.75,138.65,131.65,133.55,234940
TSFINV,2018-05-11 09:15:00+05:30,136.85,137.7,132.7,136.75,86378
TSFINV,2018-05-14 09:15:00+05:30,138.65,138.65,134.4,134.9,169727
TSFINV,2018-05-15 09:18:00+05:30,133.3,137.5,133.3,136.5,67714
TSFINV,2018-05-16 09:15:00+05:30,133.45,136.85,133.45,133.85,35647
TSFINV,2018-05-17 09:15:00+05:30,135.1,136.85,132.55,133.05,71755
