Symbol,Date,Open,High,Low,Close,Volume
UJJIVANSFB,2019-12-12 00:00:00+05:30,58.75,62.8,53.05,55.95,251414527
UJJIVANSFB,2019-12-13 00:00:00+05:30,55.4,55.4,51.1,52.0,40886357
UJJIVANSFB,2019-12-16 00:00:00+05:30,52.0,59.65,51.25,58.45,75723164
UJJIVANSFB,2019-12-17 00:00:00+05:30,60.35,61.1,57.5,58.65,59177594
UJJIVANSFB,2019-12-18 00:00:00+05:30,58.55,58.9,56.75,57.8,16440516
UJJIVANSFB,2019-12-19 00:00:00+05:30,57.1,59.4,56.65,59.1,16846660
UJJIVANSFB,2019-12-20 00:00:00+05:30,58.8,59.7,57.6,58.1,9016461
UJJIVANSFB,2019-12-23 00:00:00+05:30,57.75,58.6,56.2,56.4,6044590
UJJIVANSFB,2019-12-24 00:00:00+05:30,56.5,56.95,55.3,55.55,5209932
UJJIVANSFB,2019-12-26 00:00:00+05:30,55.55,55.9,53.2,53.6,6485440
UJJIVANSFB,2019-12-27 00:00:00+05:30,53.9,55.4,53.15,53.55,8207009
UJJIVANSFB,2019-12-30 00:00:00+05:30,53.4,54.7,53.3,54.05,5161631
UJJIVANSFB,2019-12-31 00:00:00+05:30,54.0,54.8,53.75,53.85,2608305
UJJIVANSFB,2020-01-01 00:00:00+05:30,53.85,54.2,52.9,53.05,3369319
UJJIVANSFB,2020-01-02 00:00:00+05:30,53.3,57.25,52.9,55.6,10788226
UJJIVANSFB,2020-01-03 00:00:00+05:30,55.6,56.2,54.65,54.9,3802527
UJJIVANSFB,2020-01-06 00:00:00+05:30,54.8,54.8,53.0,53.2,2878675
UJJIVANSFB,2020-01-07 00:00:00+05:30,53.5,54.3,53.25,53.6,2223498
UJJIVANSFB,2020-01-08 00:00:00+05:30,52.7,54.4,52.1,54.05,2992351
UJJIVANSFB,2020-01-09 00:00:00+05:30,55.0,55.0,52.9,53.15,5424010
UJJIVANSFB,2020-01-10 00:00:00+05:30,53.3,53.75,51.8,52.2,4962166
UJJIVANSFB,2020-01-13 00:00:00+05:30,52.25,53.0,52.25,52.55,2490710
UJJIVANSFB,2020-01-14 00:00:00+05:30,52.85,53.5,52.3,52.55,2848871
UJJIVANSFB,2020-01-15 00:00:00+05:30,52.9,52.9,51.6,51.7,4121422
UJJIVANSFB,2020-01-16 00:00:00+05:30,51.95,52.95,51.2,51.5,3698950
UJJIVANSFB,2020-01-17 00:00:00+05:30,51.7,51.9,50.3,50.4,4884518
UJJIVANSFB,2020-01-20 00:00:00+05:30,50.75,50.8,48.6,49.05,4565526
UJJIVANSFB,2020-01-21 00:00:00+05:30,49.25,50.6,48.35,49.95,4427125
UJJIVANSFB,2020-01-22 00:00:00+05:30,50.8,52.9,49.75,51.35,7374048
UJJIVANSFB,2020-01-23 00:00:00+05:30,52.0,54.2,52.0,53.6,14228890
UJJIVANSFB,2020-01-24 00:00:00+05:30,54.0,55.3,53.7,54.8,6737755
UJJIVANSFB,2020-01-27 00:00:00+05:30,55.0,55.95,54.0,54.6,4975971
UJJIVANSFB,2020-01-28 00:00:00+05:30,54.6,56.25,54.5,55.05,5831800
UJJIVANSFB,2020-01-29 00:00:00+05:30,55.5,55.75,54.8,54.9,2661337
UJJIVANSFB,2020-01-30 00:00:00+05:30,54.9,56.0,53.85,55.45,3154683
UJJIVANSFB,2020-01-31 00:00:00+05:30,56.1,56.4,55.55,55.8,3129732
UJJIVANSFB,2020-02-01 00:00:00+05:30,56.0,56.0,52.55,53.6,2854454
UJJIVANSFB,2020-02-03 00:00:00+05:30,53.5,54.25,53.0,53.25,1987363
UJJIVANSFB,2020-02-04 00:00:00+05:30,53.9,54.5,53.4,54.05,2223160
UJJIVANSFB,2020-02-05 00:00:00+05:30,53.7,57.8,53.6,56.25,6277829
UJJIVANSFB,2020-02-06 00:00:00+05:30,56.2,58.2,55.8,56.75,4033152
UJJIVANSFB,2020-02-07 00:00:00+05:30,56.85,56.9,55.75,55.95,1442427
UJJIVANSFB,2020-02-10 00:00:00+05:30,55.8,55.95,54.5,54.95,1347813
UJJIVANSFB,2020-02-11 00:00:00+05:30,55.1,55.95,54.1,54.95,2048203
UJJIVANSFB,2020-02-12 00:00:00+05:30,55.0,55.3,54.1,54.3,1554938
UJJIVANSFB,2020-02-13 00:00:00+05:30,54.05,55.15,53.6,54.7,1947090
UJJIVANSFB,2020-02-14 00:00:00+05:30,55.0,55.5,54.1,54.5,1393438
UJJIVANSFB,2020-02-17 00:00:00+05:30,54.0,54.45,53.2,53.5,1305086
UJJIVANSFB,2020-02-18 00:00:00+05:30,53.05,53.5,52.2,52.8,1124779
UJJIVANSFB,2020-02-19 00:00:00+05:30,53.0,53.9,52.9,53.05,2178575
UJJIVANSFB,2020-02-20 00:00:00+05:30,52.8,53.6,52.45,53.25,1351336
UJJIVANSFB,2020-02-24 00:00:00+05:30,53.0,53.2,51.5,51.65,1453779
UJJIVANSFB,2020-02-25 00:00:00+05:30,51.65,52.15,50.85,51.15,1422367
UJJIVANSFB,2020-02-26 00:00:00+05:30,51.0,51.25,49.15,49.85,2892356
UJJIVANSFB,2020-02-27 00:00:00+05:30,50.0,50.0,48.65,49.55,1753310
UJJIVANSFB,2020-02-28 00:00:00+05:30,48.0,48.8,47.0,48.4,2657101
UJJIVANSFB,2020-03-02 00:00:00+05:30,50.5,50.9,48.25,48.7,2200495
UJJIVANSFB,2020-03-03 00:00:00+05:30,48.7,49.7,48.0,48.8,1485021
UJJIVANSFB,2020-03-04 00:00:00+05:30,48.75,50.0,46.5,49.1,2324931
UJJIVANSFB,2020-03-05 00:00:00+05:30,49.5,50.2,48.5,49.85,1102893
UJJIVANSFB,2020-03-06 00:00:00+05:30,46.0,47.0,39.9,44.4,3685026
UJJIVANSFB,2020-03-09 00:00:00+05:30,42.0,42.85,40.1,40.8,2999073
UJJIVANSFB,2020-03-11 00:00:00+05:30,41.0,42.75,40.5,41.3,1916543
UJJIVANSFB,2020-03-12 00:00:00+05:30,37.0,39.7,37.0,38.7,3275828
UJJIVANSFB,2020-03-13 00:00:00+05:30,32.5,43.0,31.0,41.3,4107654
UJJIVANSFB,2020-03-16 00:00:00+05:30,39.8,41.85,38.1,39.5,2766365
UJJIVANSFB,2020-03-17 00:00:00+05:30,39.5,40.5,36.05,36.85,2678737
UJJIVANSFB,2020-03-18 00:00:00+05:30,37.5,38.45,31.55,31.95,4903807
UJJIVANSFB,2020-03-19 00:00:00+05:30,30.5,31.3,28.7,30.05,2967208
UJJIVANSFB,2020-03-20 00:00:00+05:30,30.7,31.2,29.0,29.4,3789703
UJJIVANSFB,2020-03-23 00:00:00+05:30,27.0,28.65,25.0,25.4,2705682
UJJIVANSFB,2020-03-24 00:00:00+05:30,26.0,27.4,23.6,24.1,1780301
UJJIVANSFB,2020-03-25 00:00:00+05:30,23.6,25.0,23.1,24.35,1513021
UJJIVANSFB,2020-03-26 00:00:00+05:30,24.45,26.75,24.45,26.75,2052369
UJJIVANSFB,2020-03-27 00:00:00+05:30,29.4,29.4,27.7,28.75,3251044
UJJIVANSFB,2020-03-30 00:00:00+05:30,26.75,27.65,25.9,27.2,904089
UJJIVANSFB,2020-03-31 00:00:00+05:30,27.3,28.5,26.75,27.3,3597702
UJJIVANSFB,2020-04-01 00:00:00+05:30,27.3,28.3,26.5,27.45,795708
UJJIVANSFB,2020-04-03 00:00:00+05:30,27.6,28.85,25.1,27.6,2753531
UJJIVANSFB,2020-04-07 00:00:00+05:30,29.0,29.1,27.6,28.4,963978
UJJIVANSFB,2020-04-08 00:00:00+05:30,28.15,29.45,27.05,28.4,953535
UJJIVANSFB,2020-04-09 00:00:00+05:30,28.8,29.35,28.3,28.9,1370611
UJJIVANSFB,2020-04-13 00:00:00+05:30,29.5,29.7,28.0,28.55,1084087
UJJIVANSFB,2020-04-15 00:00:00+05:30,28.0,28.95,27.9,28.05,1122894
UJJIVANSFB,2020-04-16 00:00:00+05:30,27.95,28.85,27.5,28.6,891463
UJJIVANSFB,2020-04-17 00:00:00+05:30,29.95,31.45,29.2,30.95,2719054
UJJIVANSFB,2020-04-20 00:00:00+05:30,33.5,34.0,31.0,33.55,3970218
UJJIVANSFB,2020-04-21 00:00:00+05:30,32.7,32.7,30.2,30.9,1580445
UJJIVANSFB,2020-04-22 00:00:00+05:30,30.0,30.8,29.25,29.95,1501763
UJJIVANSFB,2020-04-23 00:00:00+05:30,30.65,30.9,30.0,30.5,1620669
UJJIVANSFB,2020-04-24 00:00:00+05:30,30.2,30.2,28.85,29.0,1538374
UJJIVANSFB,2020-04-27 00:00:00+05:30,29.0,29.7,28.0,28.1,2132718
UJJIVANSFB,2020-04-28 00:00:00+05:30,28.7,29.0,28.0,28.9,1122272
UJJIVANSFB,2020-04-29 00:00:00+05:30,29.2,30.0,28.8,29.05,1894489
UJJIVANSFB,2020-04-30 00:00:00+05:30,29.5,29.8,29.05,29.35,1381537
UJJIVANSFB,2020-05-04 00:00:00+05:30,28.05,28.45,27.15,27.45,1922371
UJJIVANSFB,2020-05-05 00:00:00+05:30,27.75,28.15,26.35,26.5,1964439
UJJIVANSFB,2020-05-06 00:00:00+05:30,26.6,27.05,26.0,26.9,1018168
UJJIVANSFB,2020-05-07 00:00:00+05:30,26.9,27.4,26.4,26.8,613304
UJJIVANSFB,2020-05-08 00:00:00+05:30,27.0,27.8,26.5,26.65,611333
UJJIVANSFB,2020-05-11 00:00:00+05:30,26.95,26.95,26.3,26.55,633304
UJJIVANSFB,2020-05-12 00:00:00+05:30,26.5,26.55,25.9,26.35,664800
UJJIVANSFB,2020-05-13 00:00:00+05:30,28.9,28.9,27.25,27.95,1716712
UJJIVANSFB,2020-05-14 00:00:00+05:30,28.5,28.6,27.45,27.7,1198916
UJJIVANSFB,2020-05-15 00:00:00+05:30,28.3,28.3,26.1,27.3,529495
UJJIVANSFB,2020-05-18 00:00:00+05:30,27.3,27.5,25.6,26.15,919500
UJJIVANSFB,2020-05-19 00:00:00+05:30,26.3,27.0,26.2,26.55,668800
UJJIVANSFB,2020-05-20 00:00:00+05:30,28.0,28.25,27.15,27.55,2286542
UJJIVANSFB,2020-05-21 00:00:00+05:30,27.55,27.8,26.8,26.9,693349
UJJIVANSFB,2020-05-22 00:00:00+05:30,27.05,27.4,26.3,26.65,1222418
UJJIVANSFB,2020-05-26 00:00:00+05:30,26.95,26.95,26.05,26.25,733913
UJJIVANSFB,2020-05-27 00:00:00+05:30,26.35,26.55,26.1,26.45,710391
UJJIVANSFB,2020-05-28 00:00:00+05:30,26.95,28.0,26.75,27.1,1551029
UJJIVANSFB,2020-05-29 00:00:00+05:30,27.1,27.1,26.3,26.85,761554
UJJIVANSFB,2020-06-01 00:00:00+05:30,27.5,27.9,27.1,27.5,1170551
UJJIVANSFB,2020-06-02 00:00:00+05:30,27.95,28.35,27.25,28.15,1422099
UJJIVANSFB,2020-06-03 00:00:00+05:30,28.45,29.25,28.2,28.5,2086668
UJJIVANSFB,2020-06-04 00:00:00+05:30,28.4,28.75,27.65,27.9,821757
UJJIVANSFB,2020-06-05 00:00:00+05:30,28.4,28.45,27.85,28.25,1950463
UJJIVANSFB,2020-06-08 00:00:00+05:30,29.0,32.5,28.8,30.85,6515783
UJJIVANSFB,2020-06-09 00:00:00+05:30,31.2,32.2,29.6,30.05,5273133
UJJIVANSFB,2020-06-10 00:00:00+05:30,29.55,30.8,29.55,30.55,1994738
UJJIVANSFB,2020-06-11 00:00:00+05:30,30.85,31.25,29.9,30.1,2849296
UJJIVANSFB,2020-06-12 00:00:00+05:30,27.2,29.7,27.0,29.5,2343588
UJJIVANSFB,2020-06-15 00:00:00+05:30,29.9,30.2,28.8,29.05,1384274
UJJIVANSFB,2020-06-16 00:00:00+05:30,29.9,30.1,27.9,28.0,1876771
UJJIVANSFB,2020-06-17 00:00:00+05:30,28.35,28.4,27.5,28.05,841033
UJJIVANSFB,2020-06-18 00:00:00+05:30,28.05,28.65,28.0,28.5,863024
UJJIVANSFB,2020-06-19 00:00:00+05:30,28.8,29.9,28.7,29.45,2257056
UJJIVANSFB,2020-06-22 00:00:00+05:30,29.9,30.4,29.6,30.05,2393560
UJJIVANSFB,2020-06-23 00:00:00+05:30,30.35,30.65,30.05,30.4,1452323
UJJIVANSFB,2020-06-24 00:00:00+05:30,31.0,31.2,29.55,29.8,2543683
UJJIVANSFB,2020-06-25 00:00:00+05:30,29.2,30.95,29.05,30.2,1471686
UJJIVANSFB,2020-06-26 00:00:00+05:30,30.7,30.95,30.0,30.5,2184903
