Symbol,Date,Open,High,Low,Close,Volume
VIKRAN,2025-09-03 00:00:00+05:30,99.0,101.77,93.26,95.71,79381336
VIKRAN,2025-09-04 00:00:00+05:30,96.2,97.0,91.7,92.13,10056469
VIKRAN,2025-09-05 00:00:00+05:30,92.89,95.85,92.7,94.91,7297179
VIKRAN,2025-09-08 00:00:00+05:30,97.0,103.78,96.57,101.01,32024643
VIKRAN,2025-09-09 00:00:00+05:30,101.1,107.5,98.61,104.26,38478223
VIKRAN,2025-09-10 00:00:00+05:30,106.2,108.8,104.02,106.05,23676831
VIKRAN,2025-09-11 00:00:00+05:30,106.52,106.84,101.1,101.84,10545589
VIKRAN,2025-09-12 00:00:00+05:30,102.4,108.2,101.02,106.29,19323080
VIKRAN,2025-09-15 00:00:00+05:30,106.82,107.21,103.55,104.71,8593742
VIKRAN,2025-09-16 00:00:00+05:30,104.8,113.89,104.8,109.55,41682052
VIKRAN,2025-09-17 00:00:00+05:30,110.4,112.25,107.62,109.97,11343281
VIKRAN,2025-09-18 00:00:00+05:30,110.5,114.66,108.67,113.72,17012528
VIKRAN,2025-09-19 00:00:00+05:30,114.89,116.64,112.9,114.88,14957477
VIKRAN,2025-09-22 00:00:00+05:30,114.0,116.24,108.44,109.79,12998791
VIKRAN,2025-09-23 00:00:00+05:30,106.12,109.24,104.76,105.51,12458425
VIKRAN,2025-09-24 00:00:00+05:30,106.0,107.3,102.51,102.98,7033148
VIKRAN,2025-09-25 00:00:00+05:30,103.25,105.09,100.75,101.26,5578191
VIKRAN,2025-09-26 00:00:00+05:30,101.4,102.29,96.02,96.99,6818576
VIKRAN,2025-09-29 00:00:00+05:30,98.0,101.13,97.36,99.58,7337771
VIKRAN,2025-09-30 00:00:00+05:30,100.4,100.52,93.24,94.89,6266823
VIKRAN,2025-10-01 00:00:00+05:30,95.0,97.0,93.36,96.21,5602184
VIKRAN,2025-10-03 00:00:00+05:30,96.6,98.1,95.65,97.19,4164186
VIKRAN,2025-10-06 00:00:00+05:30,97.9,97.9,94.95,96.24,3261709
VIKRAN,2025-10-07 00:00:00+05:30,96.5,96.83,94.1,94.74,2507103
VIKRAN,2025-10-08 00:00:00+05:30,95.0,101.75,94.15,100.14,12662732
VIKRAN,2025-10-09 00:00:00+05:30,100.4,106.52,99.75,105.91,11306120
VIKRAN,2025-10-10 00:00:00+05:30,105.5,107.7,102.78,104.43,6054069
VIKRAN,2025-10-13 00:00:00+05:30,103.2,104.2,100.55,100.97,3405812
VIKRAN,2025-10-14 00:00:00+05:30,101.0,102.6,96.8,97.22,4345529
VIKRAN,2025-10-15 00:00:00+05:30,97.8,100.51,97.25,100.05,3490388
VIKRAN,2025-10-16 00:00:00+05:30,100.48,100.94,98.5,98.95,2611748
VIKRAN,2025-10-17 00:00:00+05:30,98.9,99.8,95.28,96.3,2869728
VIKRAN,2025-10-20 00:00:00+05:30,96.95,99.2,96.0,98.83,2684362
VIKRAN,2025-10-21 00:00:00+05:30,99.02,99.84,98.6,99.08,920029
VIKRAN,2025-10-23 00:00:00+05:30,99.8,102.6,99.49,101.01,3518006
VIKRAN,2025-10-24 00:00:00+05:30,101.14,101.34,98.7,98.94,1595107
VIKRAN,2025-10-27 00:00:00+05:30,102.7,106.9,101.49,102.81,12042252
VIKRAN,2025-10-28 00:00:00+05:30,102.95,109.6,102.47,104.3,11522540
VIKRAN,2025-10-29 00:00:00+05:30,105.01,106.61,101.66,102.58,4263828
VIKRAN,2025-10-30 00:00:00+05:30,102.78,103.73,100.66,102.37,2682802
VIKRAN,2025-10-31 00:00:00+05:30,102.69,103.2,101.16,101.57,2353613
VIKRAN,2025-11-03 00:00:00+05:30,101.89,101.89,99.26,99.83,2078230
VIKRAN,2025-11-04 00:00:00+05:30,100.4,100.44,97.7,98.05,2030583
VIKRAN,2025-11-06 00:00:00+05:30,98.38,98.79,95.0,95.38,3365677
VIKRAN,2025-11-07 00:00:00+05:30,95.4,96.6,94.22,95.99,3524827
VIKRAN,2025-11-10 00:00:00+05:30,96.99,100.47,96.36,99.27,5235937
VIKRAN,2025-11-11 00:00:00+05:30,105.0,108.6,101.63,102.63,37693638
VIKRAN,2025-11-12 00:00:00+05:30,104.5,107.0,103.33,105.46,10822013
VIKRAN,2025-11-13 00:00:00+05:30,105.8,114.0,104.85,107.0,19153746
VIKRAN,2025-11-14 00:00:00+05:30,106.5,110.0,104.7,108.97,7477947
VIKRAN,2025-11-17 00:00:00+05:30,109.55,113.29,108.04,112.56,8415486
VIKRAN,2025-11-18 00:00:00+05:30,112.5,112.5,108.2,110.39,5932590
VIKRAN,2025-11-19 00:00:00+05:30,110.3,110.39,106.75,108.35,3571946
VIKRAN,2025-11-20 00:00:00+05:30,108.54,118.4,106.55,110.21,42225311
VIKRAN,2025-11-21 00:00:00+05:30,109.9,111.5,106.6,107.37,8141330
VIKRAN,2025-11-24 00:00:00+05:30,107.58,109.5,104.17,104.79,5329328
VIKRAN,2025-11-25 00:00:00+05:30,104.85,110.4,104.17,108.51,7547320
VIKRAN,2025-11-26 00:00:00+05:30,109.0,109.7,107.5,107.94,3600873
VIKRAN,2025-11-27 00:00:00+05:30,108.0,109.35,105.79,106.29,3466300
VIKRAN,2025-11-28 00:00:00+05:30,106.4,107.99,105.9,106.45,3032716
