Symbol,Date,Open,High,Low,Close,Volume
WEBELSOLAR,2007-05-15 00:00:00+05:30,19.2,19.2,17.6,18.5,322460
WEBELSOLAR,2007-05-16 00:00:00+05:30,19.2,19.2,18.2,18.6,14900
WEBELSOLAR,2007-05-17 00:00:00+05:30,18.2,18.6,18.2,18.6,13720
WEBELSOLAR,2007-05-18 00:00:00+05:30,18.3,18.4,18.0,18.0,16220
WEBELSOLAR,2007-05-21 00:00:00+05:30,17.6,18.6,17.6,18.2,17700
WEBELSOLAR,2007-05-22 00:00:00+05:30,17.8,18.2,17.8,18.0,8100
WEBELSOLAR,2007-05-23 00:00:00+05:30,17.8,18.0,17.8,17.8,32200
WEBELSOLAR,2007-05-24 00:00:00+05:30,17.2,18.7,17.2,18.0,26620
WEBELSOLAR,2007-05-25 00:00:00+05:30,17.0,19.9,17.0,19.1,167560
WEBELSOLAR,2007-05-28 00:00:00+05:30,22.8,22.8,20.0,20.5,1402640
WEBELSOLAR,2007-05-29 00:00:00+05:30,20.8,22.4,20.8,22.1,1581880
WEBELSOLAR,2007-05-30 00:00:00+05:30,22.0,23.5,21.8,22.8,1264140
WEBELSOLAR,2007-05-31 00:00:00+05:30,23.5,24.2,23.0,23.7,1026860
WEBELSOLAR,2007-06-01 00:00:00+05:30,24.3,26.3,23.6,24.6,1175860
WEBELSOLAR,2007-06-04 00:00:00+05:30,25.3,25.3,23.8,24.1,306260
WEBELSOLAR,2007-06-05 00:00:00+05:30,19.4,24.0,19.4,23.4,227720
WEBELSOLAR,2007-06-06 00:00:00+05:30,23.7,23.8,22.5,22.8,179580
WEBELSOLAR,2007-06-07 00:00:00+05:30,22.6,23.7,22.4,23.3,458860
WEBELSOLAR,2007-06-08 00:00:00+05:30,23.0,24.4,23.0,23.2,400940
WEBELSOLAR,2007-06-11 00:00:00+05:30,20.7,25.1,20.7,23.8,406000
WEBELSOLAR,2007-06-12 00:00:00+05:30,23.6,24.1,21.5,23.0,113160
WEBELSOLAR,2007-06-13 00:00:00+05:30,25.0,25.0,22.5,22.6,59760
WEBELSOLAR,2007-06-14 00:00:00+05:30,24.1,24.1,22.6,23.1,102340
WEBELSOLAR,2007-06-15 00:00:00+05:30,23.4,23.4,22.6,22.6,32260
WEBELSOLAR,2007-06-18 00:00:00+05:30,24.1,25.4,23.4,24.7,568740
